"","literality","list","rating","language","item","Subject","response"
"1","irony","1","Valence","English",1,"S01_1",1
"2","irony","1","Valence","English",1,"S02_1",2
"3","irony","1","Valence","English",1,"S03_1",1
"4","irony","1","Valence","English",1,"S04_1",1
"5","irony","1","Valence","English",1,"S05_1",2
"6","irony","1","Valence","English",1,"S06_1",1
"7","irony","1","Valence","English",1,"S07_1",1
"8","irony","1","Valence","English",1,"S08_1",1
"9","irony","1","Valence","English",1,"S09_1",2
"10","irony","1","Valence","English",1,"S10_1",1
"11","irony","1","Valence","English",1,"S11_1",2
"12","irony","1","Valence","English",1,"S12_1",1
"13","irony","1","Relationship","English",1,"S01_1",-3
"14","irony","1","Relationship","English",1,"S02_1",-1
"15","irony","1","Relationship","English",1,"S03_1",-2
"16","irony","1","Relationship","English",1,"S04_1",-3
"17","irony","1","Relationship","English",1,"S05_1",0
"18","irony","1","Relationship","English",1,"S06_1",-1
"19","irony","1","Relationship","English",1,"S07_1",-2
"20","irony","1","Relationship","English",1,"S08_1",-3
"21","irony","1","Relationship","English",1,"S09_1",-2
"22","irony","1","Relationship","English",1,"S10_1",-3
"23","irony","1","Relationship","English",1,"S11_1",-1
"24","irony","1","Relationship","English",1,"S12_1",-2
"25","irony","1","Irony","English",1,"S01_1",5
"26","irony","1","Irony","English",1,"S02_1",5
"27","irony","1","Irony","English",1,"S03_1",5
"28","irony","1","Irony","English",1,"S04_1",5
"29","irony","1","Irony","English",1,"S05_1",3
"30","irony","1","Irony","English",1,"S06_1",5
"31","irony","1","Irony","English",1,"S07_1",5
"32","irony","1","Irony","English",1,"S08_1",5
"33","irony","1","Irony","English",1,"S09_1",5
"34","irony","1","Irony","English",1,"S10_1",5
"35","irony","1","Irony","English",1,"S11_1",5
"36","irony","1","Irony","English",1,"S12_1",5
"37","literal","1","Valence","English",2,"S01_1",1
"38","literal","1","Valence","English",2,"S02_1",2
"39","literal","1","Valence","English",2,"S03_1",1
"40","literal","1","Valence","English",2,"S04_1",1
"41","literal","1","Valence","English",2,"S05_1",2
"42","literal","1","Valence","English",2,"S06_1",1
"43","literal","1","Valence","English",2,"S07_1",1
"44","literal","1","Valence","English",2,"S08_1",1
"45","literal","1","Valence","English",2,"S09_1",2
"46","literal","1","Valence","English",2,"S10_1",3
"47","literal","1","Valence","English",2,"S11_1",1
"48","literal","1","Valence","English",2,"S12_1",1
"49","literal","1","Relationship","English",2,"S01_1",-3
"50","literal","1","Relationship","English",2,"S02_1",-2
"51","literal","1","Relationship","English",2,"S03_1",-2
"52","literal","1","Relationship","English",2,"S04_1",-2
"53","literal","1","Relationship","English",2,"S05_1",-1
"54","literal","1","Relationship","English",2,"S06_1",-2
"55","literal","1","Relationship","English",2,"S07_1",-2
"56","literal","1","Relationship","English",2,"S08_1",-3
"57","literal","1","Relationship","English",2,"S09_1",-2
"58","literal","1","Relationship","English",2,"S10_1",-2
"59","literal","1","Relationship","English",2,"S11_1",-3
"60","literal","1","Relationship","English",2,"S12_1",-2
"61","literal","1","Irony","English",2,"S01_1",1
"62","literal","1","Irony","English",2,"S02_1",1
"63","literal","1","Irony","English",2,"S03_1",1
"64","literal","1","Irony","English",2,"S04_1",1
"65","literal","1","Irony","English",2,"S05_1",2
"66","literal","1","Irony","English",2,"S06_1",1
"67","literal","1","Irony","English",2,"S07_1",1
"68","literal","1","Irony","English",2,"S08_1",1
"69","literal","1","Irony","English",2,"S09_1",1
"70","literal","1","Irony","English",2,"S10_1",1
"71","literal","1","Irony","English",2,"S11_1",1
"72","literal","1","Irony","English",2,"S12_1",5
"73","irony","1","Valence","English",3,"S01_1",1
"74","irony","1","Valence","English",3,"S02_1",3
"75","irony","1","Valence","English",3,"S03_1",2
"76","irony","1","Valence","English",3,"S04_1",1
"77","irony","1","Valence","English",3,"S05_1",3
"78","irony","1","Valence","English",3,"S06_1",2
"79","irony","1","Valence","English",3,"S07_1",2
"80","irony","1","Valence","English",3,"S08_1",1
"81","irony","1","Valence","English",3,"S09_1",3
"82","irony","1","Valence","English",3,"S10_1",2
"83","irony","1","Valence","English",3,"S11_1",2
"84","irony","1","Valence","English",3,"S12_1",3
"85","irony","1","Relationship","English",3,"S01_1",-3
"86","irony","1","Relationship","English",3,"S02_1",0
"87","irony","1","Relationship","English",3,"S03_1",-1
"88","irony","1","Relationship","English",3,"S04_1",-2
"89","irony","1","Relationship","English",3,"S05_1",-2
"90","irony","1","Relationship","English",3,"S06_1",-3
"91","irony","1","Relationship","English",3,"S07_1",-1
"92","irony","1","Relationship","English",3,"S08_1",-3
"93","irony","1","Relationship","English",3,"S09_1",-1
"94","irony","1","Relationship","English",3,"S10_1",-1
"95","irony","1","Relationship","English",3,"S11_1",-2
"96","irony","1","Relationship","English",3,"S12_1",-1
"97","irony","1","Irony","English",3,"S01_1",5
"98","irony","1","Irony","English",3,"S02_1",5
"99","irony","1","Irony","English",3,"S03_1",4
"100","irony","1","Irony","English",3,"S04_1",5
"101","irony","1","Irony","English",3,"S05_1",4
"102","irony","1","Irony","English",3,"S06_1",5
"103","irony","1","Irony","English",3,"S07_1",5
"104","irony","1","Irony","English",3,"S08_1",5
"105","irony","1","Irony","English",3,"S09_1",4
"106","irony","1","Irony","English",3,"S10_1",5
"107","irony","1","Irony","English",3,"S11_1",5
"108","irony","1","Irony","English",3,"S12_1",5
"109","literal","1","Valence","English",4,"S01_1",1
"110","literal","1","Valence","English",4,"S02_1",1
"111","literal","1","Valence","English",4,"S03_1",1
"112","literal","1","Valence","English",4,"S04_1",1
"113","literal","1","Valence","English",4,"S05_1",3
"114","literal","1","Valence","English",4,"S06_1",2
"115","literal","1","Valence","English",4,"S07_1",3
"116","literal","1","Valence","English",4,"S08_1",1
"117","literal","1","Valence","English",4,"S09_1",3
"118","literal","1","Valence","English",4,"S10_1",3
"119","literal","1","Valence","English",4,"S11_1",2
"120","literal","1","Valence","English",4,"S12_1",1
"121","literal","1","Relationship","English",4,"S01_1",-3
"122","literal","1","Relationship","English",4,"S02_1",-1
"123","literal","1","Relationship","English",4,"S03_1",-1
"124","literal","1","Relationship","English",4,"S04_1",-1
"125","literal","1","Relationship","English",4,"S05_1",0
"126","literal","1","Relationship","English",4,"S06_1",-1
"127","literal","1","Relationship","English",4,"S07_1",-1
"128","literal","1","Relationship","English",4,"S08_1",-3
"129","literal","1","Relationship","English",4,"S09_1",-2
"130","literal","1","Relationship","English",4,"S10_1",0
"131","literal","1","Relationship","English",4,"S11_1",-2
"132","literal","1","Relationship","English",4,"S12_1",-1
"133","literal","1","Irony","English",4,"S01_1",1
"134","literal","1","Irony","English",4,"S02_1",1
"135","literal","1","Irony","English",4,"S03_1",1
"136","literal","1","Irony","English",4,"S04_1",1
"137","literal","1","Irony","English",4,"S05_1",1
"138","literal","1","Irony","English",4,"S06_1",1
"139","literal","1","Irony","English",4,"S07_1",1
"140","literal","1","Irony","English",4,"S08_1",1
"141","literal","1","Irony","English",4,"S09_1",1
"142","literal","1","Irony","English",4,"S10_1",2
"143","literal","1","Irony","English",4,"S11_1",1
"144","literal","1","Irony","English",4,"S12_1",1
"145","irony","1","Valence","English",5,"S01_1",1
"146","irony","1","Valence","English",5,"S02_1",3
"147","irony","1","Valence","English",5,"S03_1",1
"148","irony","1","Valence","English",5,"S04_1",1
"149","irony","1","Valence","English",5,"S05_1",2
"150","irony","1","Valence","English",5,"S06_1",1
"151","irony","1","Valence","English",5,"S07_1",1
"152","irony","1","Valence","English",5,"S08_1",1
"153","irony","1","Valence","English",5,"S09_1",4
"154","irony","1","Valence","English",5,"S10_1",2
"155","irony","1","Valence","English",5,"S11_1",2
"156","irony","1","Valence","English",5,"S12_1",2
"157","irony","1","Relationship","English",5,"S01_1",-2
"158","irony","1","Relationship","English",5,"S02_1",-1
"159","irony","1","Relationship","English",5,"S03_1",-1
"160","irony","1","Relationship","English",5,"S04_1",-2
"161","irony","1","Relationship","English",5,"S05_1",0
"162","irony","1","Relationship","English",5,"S06_1",-1
"163","irony","1","Relationship","English",5,"S07_1",-1
"164","irony","1","Relationship","English",5,"S08_1",-1
"165","irony","1","Relationship","English",5,"S09_1",0
"166","irony","1","Relationship","English",5,"S10_1",-1
"167","irony","1","Relationship","English",5,"S11_1",-1
"168","irony","1","Relationship","English",5,"S12_1",-1
"169","irony","1","Irony","English",5,"S01_1",1
"170","irony","1","Irony","English",5,"S02_1",5
"171","irony","1","Irony","English",5,"S03_1",1
"172","irony","1","Irony","English",5,"S04_1",2
"173","irony","1","Irony","English",5,"S05_1",4
"174","irony","1","Irony","English",5,"S06_1",1
"175","irony","1","Irony","English",5,"S07_1",1
"176","irony","1","Irony","English",5,"S08_1",1
"177","irony","1","Irony","English",5,"S09_1",4
"178","irony","1","Irony","English",5,"S10_1",3
"179","irony","1","Irony","English",5,"S11_1",1
"180","irony","1","Irony","English",5,"S12_1",5
"181","literal","1","Valence","English",6,"S01_1",4
"182","literal","1","Valence","English",6,"S02_1",7
"183","literal","1","Valence","English",6,"S03_1",6
"184","literal","1","Valence","English",6,"S04_1",3
"185","literal","1","Valence","English",6,"S05_1",5
"186","literal","1","Valence","English",6,"S06_1",4
"187","literal","1","Valence","English",6,"S07_1",5
"188","literal","1","Valence","English",6,"S08_1",6
"189","literal","1","Valence","English",6,"S09_1",5
"190","literal","1","Valence","English",6,"S10_1",6
"191","literal","1","Valence","English",6,"S11_1",4
"192","literal","1","Valence","English",6,"S12_1",6
"193","literal","1","Relationship","English",6,"S01_1",0
"194","literal","1","Relationship","English",6,"S02_1",1
"195","literal","1","Relationship","English",6,"S03_1",0
"196","literal","1","Relationship","English",6,"S04_1",0
"197","literal","1","Relationship","English",6,"S05_1",0
"198","literal","1","Relationship","English",6,"S06_1",0
"199","literal","1","Relationship","English",6,"S07_1",1
"200","literal","1","Relationship","English",6,"S08_1",1
"201","literal","1","Relationship","English",6,"S09_1",0
"202","literal","1","Relationship","English",6,"S10_1",0
"203","literal","1","Relationship","English",6,"S11_1",0
"204","literal","1","Relationship","English",6,"S12_1",1
"205","literal","1","Irony","English",6,"S01_1",1
"206","literal","1","Irony","English",6,"S02_1",1
"207","literal","1","Irony","English",6,"S03_1",1
"208","literal","1","Irony","English",6,"S04_1",3
"209","literal","1","Irony","English",6,"S05_1",1
"210","literal","1","Irony","English",6,"S06_1",1
"211","literal","1","Irony","English",6,"S07_1",1
